asset_type,batch,position,slug,route,source_file,original_publication_date
blog,1,1,elevenlabs-vs-deepgram-voice-ai,/blog/elevenlabs-vs-deepgram-voice-ai,apps/web/content/blog/week-20-elevenlabs-vs-deepgram.md,2026-07-13
blog,1,2,ai-after-hours-call-handling,/blog/ai-after-hours-call-handling,apps/web/content/blog/ai-after-hours-call-handling.md,2026-03-19
blog,1,3,online-appointment-scheduling-ai-voice,/blog/online-appointment-scheduling-ai-voice,apps/web/content/blog/online-appointment-scheduling-ai-voice.md,2026-03-19
blog,1,4,ai-meeting-scheduler-voice-automation,/blog/ai-meeting-scheduler-voice-automation,apps/web/content/blog/ai-meeting-scheduler-voice-automation.md,2026-03-19
blog,1,5,ai-vs-human-agents-cost-comparison,/blog/ai-vs-human-agents-cost-comparison,apps/web/content/blog/week-09-ai-vs-human-agents-cost-comparison.md,2026-04-27
blog,1,6,what-is-an-ai-voice-agent,/blog/what-is-an-ai-voice-agent,apps/web/content/blog/week-01-what-is-ai-voice-agent.md,2026-03-02
blog,2,1,ai-billing-payment-calls,/blog/ai-billing-payment-calls,apps/web/content/blog/ai-billing-payment-calls.md,2026-03-19
blog,2,2,ai-collection-calls-complete-guide,/blog/ai-collection-calls-complete-guide,apps/web/content/blog/ai-collection-calls-complete-guide.md,2026-03-19
blog,2,3,ai-customer-surveys-nps-calls,/blog/ai-customer-surveys-nps-calls,apps/web/content/blog/ai-customer-surveys-nps-calls.md,2026-03-19
blog,2,4,ai-insurance-claims-processing-calls,/blog/ai-insurance-claims-processing-calls,apps/web/content/blog/ai-insurance-claims-processing-calls.md,2026-03-19
blog,2,5,ai-medical-scheduling-voice-agents,/blog/ai-medical-scheduling-voice-agents,apps/web/content/blog/ai-medical-scheduling-voice-agents.md,2026-03-19
blog,2,6,ai-patient-intake-pre-visit-calls,/blog/ai-patient-intake-pre-visit-calls,apps/web/content/blog/ai-patient-intake-pre-visit-calls.md,2026-03-19
blog,3,1,ai-virtual-assistant-for-business,/blog/ai-virtual-assistant-for-business,apps/web/content/blog/ai-virtual-assistant-for-business.md,2026-03-19
blog,3,2,ai-voice-agent-vs-call-center-bpo,/blog/ai-voice-agent-vs-call-center-bpo,apps/web/content/blog/ai-voice-agent-vs-call-center-bpo.md,2026-03-19
blog,3,3,ai-voice-agents-accounting-tax-firms,/blog/ai-voice-agents-accounting-tax-firms,apps/web/content/blog/ai-voice-agents-accounting-tax-firms.md,2026-03-19
blog,3,4,ai-voice-agents-beauty-salons-spas,/blog/ai-voice-agents-beauty-salons-spas,apps/web/content/blog/ai-voice-agents-beauty-salons-spas.md,2026-03-19
blog,3,5,ai-voice-agents-dental-practices,/blog/ai-voice-agents-dental-practices,apps/web/content/blog/ai-voice-agents-dental-practices.md,2026-03-19
blog,3,6,ai-voice-agents-home-services,/blog/ai-voice-agents-home-services,apps/web/content/blog/ai-voice-agents-home-services.md,2026-03-19
blog,4,1,ai-voice-agents-insurance-companies,/blog/ai-voice-agents-insurance-companies,apps/web/content/blog/ai-voice-agents-insurance-companies.md,2026-03-19
blog,4,2,ai-voice-agents-law-firms,/blog/ai-voice-agents-law-firms,apps/web/content/blog/ai-voice-agents-law-firms.md,2026-03-19
blog,4,3,ai-voice-agents-restaurants,/blog/ai-voice-agents-restaurants,apps/web/content/blog/ai-voice-agents-restaurants.md,2026-03-19
blog,4,4,ai-voice-agents-staffing-agencies,/blog/ai-voice-agents-staffing-agencies,apps/web/content/blog/ai-voice-agents-staffing-agencies.md,2026-03-19
blog,4,5,ai-voice-agents-veterinary-clinics,/blog/ai-voice-agents-veterinary-clinics,apps/web/content/blog/ai-voice-agents-veterinary-clinics.md,2026-03-19
blog,4,6,ai-voice-assistant-vs-ai-voice-agent,/blog/ai-voice-assistant-vs-ai-voice-agent,apps/web/content/blog/ai-voice-assistant-vs-ai-voice-agent.md,2026-03-19
blog,5,1,air-ai-alternatives,/blog/air-ai-alternatives,apps/web/content/blog/air-ai-alternatives.md,2026-02-21
blog,5,2,best-online-booking-systems-ai-voice,/blog/best-online-booking-systems-ai-voice,apps/web/content/blog/best-online-booking-systems-ai-voice.md,2026-03-19
blog,5,3,bland-ai-alternatives,/blog/bland-ai-alternatives,apps/web/content/blog/bland-ai-alternatives.md,2026-02-25
blog,5,4,enterprise-ai-voice-platform-guide,/blog/enterprise-ai-voice-platform-guide,apps/web/content/blog/enterprise-ai-voice-platform-guide.md,2026-03-19
blog,5,5,how-to-automate-phone-calls-ai,/blog/how-to-automate-phone-calls-ai,apps/web/content/blog/how-to-automate-phone-calls-ai.md,2026-02-27
blog,5,6,how-to-migrate-ivr-to-ai-voice-agents,/blog/how-to-migrate-ivr-to-ai-voice-agents,apps/web/content/blog/how-to-migrate-ivr-to-ai-voice-agents.md,2026-03-19
blog,6,1,inbound-vs-outbound-ai-voice-agents,/blog/inbound-vs-outbound-ai-voice-agents,apps/web/content/blog/inbound-vs-outbound-ai-voice-agents.md,2026-03-19
blog,6,2,multi-language-ai-voice-agents,/blog/multi-language-ai-voice-agents,apps/web/content/blog/multi-language-ai-voice-agents.md,2026-03-19
blog,6,3,quickvoice-vs-voiceflow,/blog/quickvoice-vs-voiceflow,apps/web/content/blog/quickvoice-vs-voiceflow.md,2026-02-28
blog,6,4,synthflow-alternatives,/blog/synthflow-alternatives,apps/web/content/blog/synthflow-alternatives.md,2026-02-23
blog,6,5,ai-voice-agent-vs-ivr,/blog/ai-voice-agent-vs-ivr,apps/web/content/blog/week-02-ai-voice-agent-vs-ivr.md,2026-03-09
blog,6,6,deploy-ai-voice-agent-no-code,/blog/deploy-ai-voice-agent-no-code,apps/web/content/blog/week-03-deploy-ai-voice-agent-no-code.md,2026-03-16
blog,7,1,hipaa-compliant-ai-voice-agents,/blog/hipaa-compliant-ai-voice-agents,apps/web/content/blog/week-06-hipaa-compliant-ai-voice-agents.md,2026-04-06
blog,7,2,ai-voice-agents-real-estate,/blog/ai-voice-agents-real-estate,apps/web/content/blog/week-07-ai-voice-agents-real-estate.md,2026-04-13
blog,7,3,ai-outbound-calling-replacing-sdr-cold-calls,/blog/ai-outbound-calling-replacing-sdr-cold-calls,apps/web/content/blog/week-08-ai-outbound-calling-replacing-sdr-cold-calls.md,2026-04-20
blog,7,4,ai-phone-agents-automotive-dealerships,/blog/ai-phone-agents-automotive-dealerships,apps/web/content/blog/week-11-ai-phone-agents-automotive-dealerships.md,2026-05-11
blog,7,5,what-is-conversational-ai,/blog/what-is-conversational-ai,apps/web/content/blog/week-12-what-is-conversational-ai.md,2026-05-18
blog,7,6,ai-voice-agents-ecommerce,/blog/ai-voice-agents-ecommerce,apps/web/content/blog/week-13-ai-voice-agents-ecommerce.md,2026-05-25
blog,8,1,ai-voice-agents-financial-services,/blog/ai-voice-agents-financial-services,apps/web/content/blog/week-16-ai-voice-agents-financial-services.md,2026-06-15
blog,8,2,ai-debt-collection-calls,/blog/ai-debt-collection-calls,apps/web/content/blog/week-17-ai-debt-collection-calls.md,2026-06-22
blog,8,3,roi-replacing-receptionist-ai-voice-agent,/blog/roi-replacing-receptionist-ai-voice-agent,apps/web/content/blog/week-18-roi-replacing-receptionist-ai.md,2026-06-29
blog,8,4,ai-voice-agents-hr-recruiting,/blog/ai-voice-agents-hr-recruiting,apps/web/content/blog/week-19-ai-hr-recruiting-phone-screening.md,2026-07-06
blog,8,5,connect-ai-voice-agent-hubspot,/blog/connect-ai-voice-agent-hubspot,apps/web/content/blog/week-21-connect-ai-voice-hubspot.md,2026-07-20
blog,8,6,ai-voice-agents-logistics,/blog/ai-voice-agents-logistics,apps/web/content/blog/week-22-ai-voice-agents-logistics.md,2026-07-27
blog,9,1,10-ai-voice-agent-use-cases-healthcare,/blog/10-ai-voice-agent-use-cases-healthcare,apps/web/content/blog/week-23-10-healthcare-ai-voice-use-cases.md,2026-08-03
blog,9,2,ai-phone-agents-handle-objections,/blog/ai-phone-agents-handle-objections,apps/web/content/blog/week-24-ai-phone-agents-handle-objections.md,2026-08-10
blog,9,3,what-is-voice-cloning-ai-agents,/blog/what-is-voice-cloning-ai-agents,apps/web/content/blog/week-25-what-is-voice-cloning-ai.md,2026-08-17
blog,9,4,ai-voice-agents-manufacturing,/blog/ai-voice-agents-manufacturing,apps/web/content/blog/week-26-ai-voice-agents-manufacturing.md,2026-08-24
blog,9,5,quickvoice-vs-bland-ai,/blog/quickvoice-vs-bland-ai,apps/web/content/blog/week-27-quickvoice-vs-bland-ai.md,2026-08-31
blog,9,6,quickvoice-vs-vapi,/blog/quickvoice-vs-vapi,apps/web/content/blog/week-28-quickvoice-vs-vapi.md,2026-09-07
blog,10,1,quickvoice-vs-synthflow,/blog/quickvoice-vs-synthflow,apps/web/content/blog/week-29-quickvoice-vs-synthflow.md,2026-09-14
blog,10,2,quickvoice-vs-retell-ai,/blog/quickvoice-vs-retell-ai,apps/web/content/blog/week-30-quickvoice-vs-retell-ai.md,2026-09-21
blog,10,3,case-study-call-center-cost-reduction-ai-voice,/blog/case-study-call-center-cost-reduction-ai-voice,apps/web/content/blog/week-31-case-study-call-center-cost-reduction.md,2026-09-28
blog,10,4,state-of-ai-voice-agents-2026,/blog/state-of-ai-voice-agents-2026,apps/web/content/blog/week-32-state-of-ai-voice-agents-2026.md,2026-10-05
blog,10,5,questions-before-buying-ai-voice-agent-platform,/blog/questions-before-buying-ai-voice-agent-platform,apps/web/content/blog/week-33-15-questions-before-buying-ai-voice-agent.md,2026-10-12
blog,10,6,how-to-write-scripts-for-ai-voice-agents,/blog/how-to-write-scripts-for-ai-voice-agents,apps/web/content/blog/week-34-how-to-write-scripts-for-ai-voice-agents.md,2026-10-19
blog,11,1,ai-voice-agents-travel-hospitality,/blog/ai-voice-agents-travel-hospitality,apps/web/content/blog/week-35-ai-voice-agents-travel-hospitality.md,2026-10-26
blog,11,2,ai-voice-agents-saas-companies,/blog/ai-voice-agents-saas-companies,apps/web/content/blog/week-36-ai-voice-agents-saas-companies.md,2026-11-02
blog,11,3,what-is-no-code-ai,/blog/what-is-no-code-ai,apps/web/content/blog/week-37-what-is-no-code-ai.md,2026-11-09
blog,11,4,how-to-automate-order-status-calls,/blog/how-to-automate-order-status-calls,apps/web/content/blog/week-38-how-to-automate-order-status-calls.md,2026-11-16
blog,11,5,hidden-cost-of-missed-calls-small-business,/blog/hidden-cost-of-missed-calls-small-business,apps/web/content/blog/week-39-hidden-cost-of-missed-calls.md,2026-11-23
blog,11,6,ai-voice-agent-implementation-checklist,/blog/ai-voice-agent-implementation-checklist,apps/web/content/blog/week-40-ai-voice-agent-implementation-checklist.md,2026-11-30
blog,12,1,how-ai-voice-agents-improve-first-call-resolution,/blog/how-ai-voice-agents-improve-first-call-resolution,apps/web/content/blog/week-41-how-ai-voice-agents-improve-first-call-resolution.md,2026-12-07
blog,12,2,ai-voice-agents-education,/blog/ai-voice-agents-education,apps/web/content/blog/week-42-ai-voice-agents-education.md,2026-12-14
blog,12,3,quickvoice-vs-air-ai,/blog/quickvoice-vs-air-ai,apps/web/content/blog/week-43-quickvoice-vs-air-ai.md,2026-12-21
blog,12,4,how-to-reduce-no-show-rates,/blog/how-to-reduce-no-show-rates,apps/web/content/blog/week-44-how-to-reduce-no-show-rates.md,2026-12-28
blog,12,5,2027-predictions-ai-voice-agents,/blog/2027-predictions-ai-voice-agents,apps/web/content/blog/week-45-2027-predictions-ai-voice-agents.md,2027-01-04
blog,12,6,building-ai-first-contact-center,/blog/building-ai-first-contact-center,apps/web/content/blog/week-46-building-ai-first-contact-center.md,2027-01-11
blog,13,1,ai-voice-agents-vs-chatbots,/blog/ai-voice-agents-vs-chatbots,apps/web/content/blog/week-47-ai-voice-agents-vs-chatbots.md,2027-01-18
blog,13,2,real-estate-ai-follow-up-100-percent-inquiries,/blog/real-estate-ai-follow-up-100-percent-inquiries,apps/web/content/blog/week-48-real-estate-ai-follow-up-100-percent-inquiries.md,2027-01-25
