opportunity_id,outlet,channel_type,buyer_fit,primary_rules_url,submission_or_secondary_rules_url,verified_rules,prerequisites_and_limits,specific_pitch_internal_draft,relevant_destination_reference_not_guaranteed_placement,prepared_asset,cost_or_access,rules_checked_date,status,owner_role,sent_date,published_url,next_action
D01,OpenSourceAlternative.to,Open-source directory,Engineering-led buyers comparing proprietary voice platforms,https://opensourcealternative.to/submit,https://opensourcealternative.to/submit,Open source; actively maintained; self-hosted alternative to proprietary software. Form asks for submitter email project website name repository and proprietary comparator. Review does not guarantee listing.,Approved business contact info@quickvoice.co used for one free submission; provider dependencies disclosed on the submitted website. No payment or email-updates opt-in.,QuickVoice is an MIT-licensed phone-agent stack with inspectable console API and LiveKit worker. Please consider it as a self-hostable option for teams evaluating Retell; calls still require configured external providers.,https://quickvoice.co/open-source,listing-packages.md,free_waitlist; optional paid review not selected,2026-09-06,awaiting_editor,Outreach owner,2026-09-06,,Await moderation; acknowledgement https://opensourcealternative.to/project/quickvoice observed 2026-09-06. Receipt verification-assets/directory-submission-2026-09-06.json. Do not resubmit; publication and backlink unconfirmed.
D02,AlternativeTo,Software directory,Buyers looking for Retell/Vapi alternatives,https://alternativeto.net/faq/,https://alternativeto.net/faq/#add-a-new-application,Verified email account; moderated app submission; accurate platform license description tags. No links in description or UTM on official URL. Coming-soon/private-beta/early-access apps excluded; public beta may qualify.,Requires an authenticated email-verified account; login browser returned403 security verification. Public usability and maturity must be accurately represented; pre-stable alone does not establish ineligibility.,Please review QuickVoice as an inspectable phone-agent application stack. The submission documents MIT source access the console/API/worker and provider setup responsibilities rather than claiming a fully managed service.,https://quickvoice.co/open-source,listing-packages.md,free_standard_queue; no paid priority selected,2026-09-06,blocked_account_access,Outreach owner,,,Restore verified account access and recheck actual public eligibility before submission; no account or application created.
D03,SaaSHub,Software marketplace,Business buyers researching support and communications tools,https://www.saashub.com/submit,https://www.saashub.com/community/requirements,Published instructions require submitting/verifying an approved product before using its submission-management tool; community access requires verified email and approved product or expert rating. Promotion must not spam.,Official guidance verified; authenticated product form not inspected (direct form returned403). Confirm exact fields and duplicate listing in account before submission.,QuickVoice provides an MIT-licensed application stack for evaluating inbound and outbound phone workflows. Suggested categories are customer support and communications; provider setup and operating costs are explicit.,https://quickvoice.co/open-source,listing-packages.md,account_required; pricing not assumed,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D04,BetaList,Startup discovery,Early adopters evaluating business workflow tools,https://betalist.com/criteria,https://betalist.com/criteria,Recently launched or unreleased technology startup; useful differentiated product; strong website; visitors must be able to engage. Guidelines permit one prelaunch and one launch feature separated by weeks.,Confirm launch timing and previous listing; prepare actual screenshots and runnable evaluation path. Do not position a checklist/blog as the product.,QuickVoice lets a technical team inspect and adapt the software behind an AI phone workflow. The launch page explains one appointment-request evaluation and the infrastructure required to try it.,https://quickvoice.co/open-source,walkthrough-script.md,submission_terms_and_any_fee_require_account_recheck,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D05,Product Hunt,Product launch community,Operators and makers trying new software,https://help.producthunt.com/en/articles/479557-how-to-post-a-product,https://www.producthunt.com/launch,Personal maker account with completed onboarding; direct product URL; name tagline description visuals and makers. Featuring favors currently available products; no paid hunting or manipulated votes.,Actual demo/recording and maker account required. Verify current availability; no release or launch has been asserted.,QuickVoice: inspect and adapt an AI phone-agent stack. Our walkthrough shows a synthetic intake workflow plus provider prerequisites so evaluators can understand what they would operate.,https://quickvoice.co/open-source,walkthrough-script.md,no_paid_hunter_or_promotion_selected,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D06,Hacker News Show HN,Technical launch community,Engineering evaluators and maintainers,https://news.ycombinator.com/showhn.html,https://news.ycombinator.com/showlim,Must be personally built nontrivial work people can try; no blog or signup-only landing page. Maker must discuss it; no vote solicitation. Current notice restricts Show HN access for newer/unfamiliar users.,Maintainer participation and eligible account needed; validate runnable repository path. Use existing Show HN preparation only after those checks.,Show HN: QuickVoice — an MIT-licensed phone-agent console API and LiveKit worker. I would explain the runtime/data boundaries and invite feedback on the synthetic evaluation; carrier calls need provider credentials.,https://github.com/allgpt-co/QuickVoice,walkthrough-script.md,free; account_eligibility_check,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D07,DEV Community,Developer education community,Technical implementers supporting business pilots,https://dev.to/guidelines-for-ai-assisted-articles-on-dev,https://dev.to/code-of-conduct,AI assistance must be disclosed and accuracy checked. AI-assisted articles cannot promote a business. SEO-backlink-purpose posts restricted; company-blog exception requires organization publishing. No AI-generated comments.,Educational article proposal only; do not submit the owned-channel promotional draft. Human practitioner must substantiate technique and follow disclosure rules.,An educational tutorial on verifying tool outcomes in a voice workflow using synthetic data: define success test duplicate requests and show what to do when a tool times out. Keep product promotion out of AI-assisted text.,https://quickvoice.co/blog/ai-appointment-scheduling-guide,buyer-implementation-checklist.md,free; organization_and_editor_review_required,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D08,Hashnode,Developer publishing community,Engineers comparing deployment approaches,https://hashnode.com/code-of-conduct,https://hashnode.com/terms,Own and review published content; no bulk automated posts engagement manipulation misleading links SEO abuse or using the platform mainly for self-promotion.,A technically useful original post and accountable author required; no automated syndication. Observe current disclosure and canonical settings in editor.,A source-backed walkthrough of the systems around a voice-agent call: runtime telephony tools logs and failure ownership. Include the questions a business pilot owner should ask an engineer.,https://quickvoice.co/blog/ai-voice-agent-security-data-privacy,walkthrough-script.md,free_account; no_bulk_posting,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D09,DZone,Technical publication,Software architects and implementation leads,https://dzone.com/articles/dzones-article-submission-guidelines,https://dzone.com/pages/contribute,Real individual profile; developer audience; minimum800 words; unique technical insight and cited sources. Promotional content and articles partially or wholly AI-drafted are prohibited.,Human-authored technical article required. This AI-created pitch is an internal topic brief; do not submit these drafts as a DZone article.,Propose a practitioner-written engineering article on idempotent outcomes in phone-agent tool calls including actual code tests failure cases and limitations; omit marketing and customer claims.,https://github.com/allgpt-co/QuickVoice,walkthrough-script.md,free_editorial; human_authorship_required,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
D10,InfoQ,Technical publication,Senior engineers and technical decision-makers,https://www.infoq.com/write-for-infoq/,https://www.infoq.com/write-for-infoq/,Article proposals target real engineering challenges and lessons; editorial selection. Contributor pathway distinguishes authors sharing production lessons from news editors.,Production-lesson pitch needs firsthand evidence currently unavailable; use only after engineer can substantiate experience. No invented production narrative.,"A proposed deep dive on defining data and operational ownership across a voice-agent stack, grounded in a real engineer-reviewed deployment once evidence is available.",https://quickvoice.co/open-source,walkthrough-script.md,editorial_application; evidence_dependency,2026-09-06,researched_not_contacted,Outreach owner,,,Recheck current rules eligibility existing listing and sending authorization; then tailor the approved approach
