program_day,week,action,owner_role,working_asset,prerequisite,completion_evidence,execution_status,actual_date,evidence_url_or_note
1,1,Set campaign start date and named owners; capture deployment version and baseline coverage; verify enquiry-success tracking,SEO + analytics owner,README.md; source-status.md,Read access and consistent filters,Named owners plus observed success-event name/date and baseline export references,scheduled_not_executed,,
2,1,Check sources and linked workflow for free-ai-appointment-scheduling-tools; recheck fixed marketing_route batch 1 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 1 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
3,1,Publish or verify deployed revision of /blog/free-ai-appointment-scheduling-tools; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
4,1,Prepare/use owned-channel post 01; evaluate distribution opportunities 01-02,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
5,1,Recheck fixed blog batch 1 from review-queue.csv against completed decisions; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv; review-queue.csv; review-batch-01.md; execution-2026-09-06.md,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,Initial blog batch 1 decisions: review-batch-01.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review.
6,1,Recheck fixed blog batch 2 from review-queue.csv against completed decisions and fixed scenario batch 1 from review-queue.csv; dry-run cost worksheet with approved internal inputs,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; cost-estimation.csv; review-queue.csv; review-batch-02.md; execution-2026-09-06.md; trust-review-2026-09-06.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,Initial blog batch 2 decisions: review-batch-02.md and inventory.csv. This later campaign recheck has not occurred; scheduled drafts still require publication-time review. Initial scenario batch 1 decisions: trust-review-2026-09-06.md and inventory.csv; this later recheck and any attached demonstration or outreach task remain scheduled.
7,1,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
8,2,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
9,2,Check sources and linked workflow for best-ai-voice-agent-platforms-2026; recheck fixed marketing_route batch 2 from review-queue.csv against completed decisions,Content editor + engineer,inventory.csv; review-queue.csv; trust-review-2026-09-06.md; execution-2026-09-06.md,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,Initial marketing_route batch 2 decisions: trust-review-2026-09-06.md and inventory.csv. This later campaign recheck has not occurred; owner policy confirmations remain open where recorded.
10,2,Publish or verify deployed revision of /blog/best-ai-voice-agent-platforms-2026; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
11,2,Prepare/use owned-channel post 02; evaluate distribution opportunities 03-04,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
