priority,window,work,owner_role,status,dependency,acceptance_evidence
P0,Release,Review and release API then web with staged attribution flag,Engineering,content_live_activation_blocked_hosting_permission,Coolify read and sensitive-read access; compatible receiver health verification,PRs 208-210 merged; backend workflow completed; manual web preflight denied 403 before mutation; completion-2026-09-18.md
P0,Release,Register generate_lead and CTA/form custom dimensions,Analytics administrator,registrations_verified_default_value_mismatch,Authorized correction of existing USD 1 default to no default; no duplicate registration or OAuth change,September 20 readback: ONCE_PER_EVENT and all three EVENT dimensions present; follow-up-2026-09-20.md
P0,Release,Verify one marked production enquiry and inbox placement,Engineering and sales,pending_attribution_activation,Verified receiver and activated contact flag; destination inbox access; one authorized synthetic QA,One delivery receipt plus inbox evidence; failed delivery does not count
P0,Week 1,Reconcile confirmed enquiries bookings qualification and opportunities,Sales and growth operations,tool_prepared_records_required,Private inbox calendar and sales exports; verified identity mapping,Opaque scorecard with unknown source and test exclusions; no CTA counted as booking
P0,Week 1,Verify candidate sitemap and stale indexing recovery targets,SEO and engineering,live_sitemap_verified_recrawl_monitoring,Google recrawl and indexing decisions,101 live URLs passed canonical/indexability checks September 18; six GSC observations remain stale or unknown; no indexing guarantee
P1,Weeks 1-2,Release nine contextual article journeys and related-guide curation,Content and engineering,production_verified,None for this release; retain future evidence reviews,completion-2026-09-18.md; verification-assets/production-2026-09-18.json
P1,Weeks 1-2,Release QuickVoice vs Vapi comparison,Content and product,production_verified,None for this release; retain future evidence reviews,completion-2026-09-18.md; verification-assets/production-2026-09-18.json
P1,Weeks 1-2,Release ownership pricing scheduling and property-management clarity,Product marketing and engineering,production_verified,None for this release; retain future evidence reviews,completion-2026-09-18.md; verification-assets/production-2026-09-18.json
P1,Weekly,Capture complete US GSC and GA cohorts and inspect business outcomes,Growth operations,automation_active_human_review_required,Growth/sales owner reviews private results and supplies verified business outcomes,Private Monday 14:17 UTC workflow; first hosted run 35347815194 passed 141 requests without errors; human review not claimed
P1,Weeks 2-4,Deepen scheduling guide using observed query intent and real workflow evidence,Content and product,scheduled,Post-release query review and supported calendar behavior,One focused update with sources; query-page comparison and enquiry quality reviewed
P1,Weeks 2-4,Evaluate IVR and multilingual commercial journeys,SEO and product,ivr_clarification_prepared_gated_multilingual_deferred,Hosting and attribution gates; reviewed primary sources; exact-content approval before publishing,One private IVR brief at QuickVoiceMarketing/seo-operations/followups/2026-09-20-quickvoice.md; no live article edit yet
P1,Weeks 3-6,Record one bounded synthetic-data workflow demonstration,Product and content,scheduled_evidence_required,Working setup; recording and publication review,Real recording shows prerequisites failure handling and limits; no fabricated customer result
P1,Weeks 3-8,Request a permissioned customer story with measured scope,Customer success,blocked_customer_evidence,Real customer permission and defensible before/after data,Approved evidence-backed story or documented blocker; scenario stays illustrative
P2,Release,Review Synthflow comparison at publication time,Content and product,production_verified,None for this release; retain future evidence reviews,completion-2026-09-18.md; verification-assets/production-2026-09-18.json
P2,Weeks 4-12,Distribute proven relevant guides to suitable communities and channels,Growth and partnerships,scheduled_not_sent,Live destination; account access and channel rules; appropriate sending authorization,Actual post or submission record and outcome; no paid placement or invented backlink
P1,Days 30 60 and 90,Review cohort quality and decide which clusters to expand,Growth lead and sales,scheduled,Complete comparable data and actual qualified business records,Counts plus coverage; documented continue narrow or pause decisions; no small-sample certainty
