asset_type,route,source_file,slug,source_title_not_verified_claim,source_date,source_status,source_draft,source_published,program_group,review_status,indexing_policy,owner_role,verification_reference,inventory_date
blog,/blog/ai-after-hours-call-handling,apps/web/content/blog/ai-after-hours-call-handling.md,ai-after-hours-call-handling,"AI After-Hours Call Handling: Plan Intake, Callbacks, and Escalation",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-01.md; apps/web/content/blog/ai-after-hours-call-handling.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-billing-payment-calls,apps/web/content/blog/ai-billing-payment-calls.md,ai-billing-payment-calls,"AI Billing Calls: Account Questions, Payment Handoffs, and Disputes",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-02.md; apps/web/content/blog/ai-billing-payment-calls.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-collection-calls-complete-guide,apps/web/content/blog/ai-collection-calls-complete-guide.md,ai-collection-calls-complete-guide,"AI Collection Calls: Define Scope, Contact Eligibility, and Human Oversight",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-02.md; apps/web/content/blog/ai-collection-calls-complete-guide.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-customer-surveys-nps-calls,apps/web/content/blog/ai-customer-surveys-nps-calls.md,ai-customer-surveys-nps-calls,AI Customer Survey Calls: Ask Neutral Questions and Use Responses Responsibly,2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-02.md; apps/web/content/blog/ai-customer-surveys-nps-calls.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-insurance-claims-processing-calls,apps/web/content/blog/ai-insurance-claims-processing-calls.md,ai-insurance-claims-processing-calls,AI Insurance Claims Calls: Plan Loss Intake and Reliable Status Updates,2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-02.md; apps/web/content/blog/ai-insurance-claims-processing-calls.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-medical-scheduling-voice-agents,apps/web/content/blog/ai-medical-scheduling-voice-agents.md,ai-medical-scheduling-voice-agents,"AI Medical Scheduling: Administrative Requests, Verified Appointments, and Staff Review",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-02.md; apps/web/content/blog/ai-medical-scheduling-voice-agents.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-meeting-scheduler-voice-automation,apps/web/content/blog/ai-meeting-scheduler-voice-automation.md,ai-meeting-scheduler-voice-automation,"AI Meeting Schedulers: Coordinate Hosts, Attendees, and Confirmations",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-01.md; apps/web/content/blog/ai-meeting-scheduler-voice-automation.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-patient-intake-pre-visit-calls,apps/web/content/blog/ai-patient-intake-pre-visit-calls.md,ai-patient-intake-pre-visit-calls,AI Patient Intake Calls: Prepare Administrative Information for Staff Review,2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-02.md; apps/web/content/blog/ai-patient-intake-pre-visit-calls.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-phone-answering-service-small-business,apps/web/content/blog/ai-phone-answering-service-small-business.md,ai-phone-answering-service-small-business,AI Phone Answering Service for Small Business: A Practical Guide,2026-03-19,,false,true,selected_initial_12,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,verification-2026-09-06.md; apps/web/content/blog/ai-phone-answering-service-small-business.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-virtual-assistant-for-business,apps/web/content/blog/ai-virtual-assistant-for-business.md,ai-virtual-assistant-for-business,"AI Virtual Assistants for Business: Choose the Job, Channel, and Owner",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-03.md; apps/web/content/blog/ai-virtual-assistant-for-business.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-voice-agent-security-data-privacy,apps/web/content/blog/ai-voice-agent-security-data-privacy.md,ai-voice-agent-security-data-privacy,AI Voice Agent Security and Data Privacy: A Buyer's Checklist,2026-03-19,,false,true,selected_initial_12,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,verification-2026-09-06.md; apps/web/content/blog/ai-voice-agent-security-data-privacy.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-voice-agent-vs-call-center-bpo,apps/web/content/blog/ai-voice-agent-vs-call-center-bpo.md,ai-voice-agent-vs-call-center-bpo,AI Voice Agents vs Call Center BPO: Compare Service Responsibility and Cost,2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agent-vs-call-center-bpo.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-voice-agents-accounting-tax-firms,apps/web/content/blog/ai-voice-agents-accounting-tax-firms.md,ai-voice-agents-accounting-tax-firms,AI Voice Agents for Accounting Firms: Client Intake and Document Follow-Up,2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-accounting-tax-firms.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-voice-agents-beauty-salons-spas,apps/web/content/blog/ai-voice-agents-beauty-salons-spas.md,ai-voice-agents-beauty-salons-spas,AI Voice Agents for Salons and Spas: Service Choices and Booking Requests,2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-beauty-salons-spas.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-voice-agents-dental-practices,apps/web/content/blog/ai-voice-agents-dental-practices.md,ai-voice-agents-dental-practices,AI Voice Agents for Dental Practices: Scheduling Requests and Recall Coordination,2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-dental-practices.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-voice-agents-home-services,apps/web/content/blog/ai-voice-agents-home-services.md,ai-voice-agents-home-services,"AI Voice Agents for Home Services: Job Intake, Service Areas, and Dispatch Handoffs",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-home-services.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
blog,/blog/ai-voice-agents-insurance-companies,apps/web/content/blog/ai-voice-agents-insurance-companies.md,ai-voice-agents-insurance-companies,"AI Voice Agents for Insurance: Policy Service, Quote Intake, and Clear Handoffs",2026-03-19,,false,true,backlog,source_reviewed_production_verified,production_index_follow_canonical_dates_verified,Content owner,review-batch-04.md; apps/web/content/blog/ai-voice-agents-insurance-companies.md evidenceReview; verification-assets/production-final-2026-09-06.json,2026-09-06
